hex_id,ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,DISP_AREA,EXP2_YEAR,STATUS,STR2_YEAR,Shape_Area,Shape_Leng,DEM,LST,LandCover,NDBI,NDVI,NDWI,Population,SAVI,Network_Dist_Transit_m,Easting,Northing,LagMicro_NDBI,LagMacro_NDBI,LagMicro_NDVI,LagMacro_NDVI,LagMicro_DEM,LagMacro_DEM,LagMicro_NDWI,LagMacro_NDWI,LagMicro_SAVI,LagMacro_SAVI,ML_Risk_Prediction,TOPSIS_Baseline,TOPSIS_Climate,TOPSIS_Social,Rank_Baseline,Rank_Climate,Rank_Social
898d8c6b573ffff,116,Indonesia,1520,Jawa Tengah,18046,Kota Semarang,NO,3000,Member State,1000,0.0296004512782,0.966930220293,73,33.23785793000002,50,-0.07380922138690948,0.21309933066368103,-0.21021582186222076,67.37144470214844,0.3196424978125262,1341.3969387738766,1097990.7577060787,9220958.383542512,-0.0794646111316979,-0.09100498806219548,0.23427391797304153,0.2554962392896414,87.625,82.375,-0.22536048106849194,-0.24596528522670272,0.3514043849389999,0.38323732346152545,33.40355231691231,0.6706703213557936,0.6588393795900863,0.6781699598304145,688,691,674
898d8eb4db7ffff,116,Indonesia,1520,Jawa Tengah,18046,Kota Semarang,NO,3000,Member State,1000,0.0296004512782,0.966930220293,8,35.80479094999998,50,0.014515755698084831,0.12438930571079254,-0.1368890106678009,85.56234741210938,0.1865804431478081,514.5616381660321,1101346.6945409211,9224572.585583577,0.026508098948397674,-0.00032630232453811794,0.11082998989149928,0.13673508182788888,8.0,8.041666666666666,-0.12755181919783354,-0.14875676855444908,0.16624184589407343,0.20509885326167632,36.008872657722904,0.8338626275845943,0.8444936931354412,0.8273808661934189,198,135,289
898d8c79d23ffff,116,Indonesia,1520,Jawa Tengah,18046,Kota Semarang,NO,3000,Member State,1000,0.0296004512782,0.966930220293,225,34.907560699999976,50,0.04199301823973656,0.11283250153064728,-0.1492765098810196,85.5118408203125,0.16924566563750298,1559.5445727368344,1099664.1687766055,9214838.954356456,-0.00492760690394789,-0.019181258239162464,0.14269695803523064,0.16968016823132828,219.75,220.91666666666663,-0.15530134551227093,-0.17829890487094716,0.21404133830129943,0.2545154754270763,34.82198759843932,0.784517756907148,0.7725692320791467,0.7925674979833806,350,345,392
898d8eb6b63ffff,116,Indonesia,1520,Jawa Tengah,18046,Kota Semarang,NO,3000,Member State,1000,0.0296004512782,0.966930220293,8,35.00668328000006,50,0.06507553160190582,0.05134374648332596,-0.0668434426188469,76.80782318115234,0.07701423928462414,746.0905112771803,1103273.3603021996,9224802.42719188,0.035799205768853426,0.018379944570673008,0.10976934898644686,0.12296250741928817,6.625,6.500000000000001,-0.12841047812253237,-0.13779044027129808,0.1646509838776843,0.18444037894240245,35.18822475471657,0.7680690665527128,0.7785302667740601,0.7616748262304425,406,319,462
898d8c683a3ffff,116,Indonesia,1520,Jawa Tengah,18046,Kota Semarang,NO,3000,Member State,1000,0.0296004512782,0.966930220293,81,31.40238119000003,50,0.03008677251636982,0.11227923631668091,-0.1289682388305664,42.69479751586914,0.16841616051539288,952.7598618653092,1090339.735542178,9223944.786751475,-0.0757818246493116,-0.057701565364065274,0.21480502001941204,0.19852585780123871,71.75,66.875,-0.21269701421260834,-0.19643129470447698,0.3222019499713744,0.2977835695603488,33.30365943080584,0.5722185958543435,0.601021273738693,0.5561004383694041,894,840,919
898d8c79953ffff,116,Indonesia,1520,Jawa Tengah,18046,Kota Semarang,NO,3000,Member State,1000,0.0296004512782,0.966930220293,219,33.425849029999995,50,-0.014000838622450829,0.12281949818134308,-0.13290104269981384,72.44535064697266,0.18422567180007832,660.3621681674616,1099748.6560596204,9216954.986314854,-0.03206343052443117,-0.04509750824460449,0.1853418704122305,0.19532795064151284,225.75,225.58333333333337,-0.19142904691398144,-0.19977796263992784,0.2780075634672135,0.29298652365019506,33.47887898143816,0.7057573392013071,0.6798051856091539,0.722523252891535,584,628,569
898d8c78e0fffff,116,Indonesia,1520,Jawa Tengah,18046,Kota Semarang,NO,3000,Member State,1000,0.0296004512782,0.966930220293,260,32.398734020000006,50,0.007128632161766291,0.14770549535751343,-0.15461835265159607,40.902278900146484,0.22155407309968994,1527.191733126303,1099579.6323447572,9212723.353519877,-0.061613640980795026,-0.08253251648663233,0.22317410446703434,0.24236478780706716,266.5,269.75,-0.22726158052682877,-0.23935332335531712,0.3347550681907154,0.3635405997099435,32.392297095379334,0.5347177762941221,0.5481513282196945,0.5270184826104581,979,948,976
898d8eb6b17ffff,116,Indonesia,1520,Jawa Tengah,18046,Kota Semarang,NO,3000,Member State,1000,0.0296004512782,0.966930220293,6,32.048386970000024,50,0.0026247298810631037,0.1151193156838417,-0.11828010529279709,85.22847747802734,0.17267577093327488,1062.6527303487067,1103515.7928545338,9223672.254103811,0.008532979234587401,0.010414948512334377,0.12264950759708881,0.12675763728717965,7.625,7.749999999999999,-0.13445311971008778,-0.1419708797087272,0.18397085845910527,0.19013293842301285,32.524130878842655,0.721343871546671,0.6484348374760708,0.7767229545135474,547,714,422
898d8c6b283ffff,116,Indonesia,1520,Jawa Tengah,18046,Kota Semarang,NO,3000,Member State,1000,0.0296004512782,0.966930220293,10,36.81994288999999,50,0.04910944029688835,0.07894395291805267,-0.1093350425362587,99.5852279663086,0.1184136234724539,309.5269859186928,1099989.47950698,9224199.911406893,0.0006289921002462506,0.007351075551317382,0.13749749958515167,0.12510487157851455,10.125,9.541666666666666,-0.15194412600249052,-0.13950847337643305,0.20624242660708247,0.18765377774915404,36.64479350233108,0.9225008347045517,0.9149985371941979,0.9277566836328652,31,29,37
898d8c6b147ffff,116,Indonesia,1520,Jawa Tengah,18046,Kota Semarang,NO,3000,Member State,1000,0.0296004512782,0.966930220293,49,36.686640109999985,50,0.05824127048254013,0.09918999671936035,-0.12528501451015472,89.6653823852539,0.1487821315105421,1251.1414330111643,1096717.5574664567,9222703.060703652,-0.014365015784278512,-0.017314626956552573,0.15275839436799288,0.16603612806648016,21.5,25.83333333333333,-0.1605894835665822,-0.17236479558050635,0.22913333364171823,0.24904962305890316,35.96902312826194,0.8404554975304405,0.8466658243541115,0.8365122574995286,183,127,264
